NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Costel Pantilimon,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ciprian Tătărușanu,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Silviu Lung Jr.,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Dragoș Grigore,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Steliano Filip,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Valerică Găman,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Alexandru Mățel,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Cristian Săpunaru,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Răzvan Raț,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Vlad Chiricheș,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Cosmin Moți,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Nicolae Stanciu,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Gabriel Torje,Terek Grozny,Russian League,LM,73.0,71.0,74.0,77.0,75.0,51.0,60.0
Mihai Pintilii,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Alexandru Chipciu,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ovidiu Hoban,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Lucian Sânmărtean,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Andrei Prepeliță,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Adrian Popa,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Florin Andone,Córdoba CF,Liga Adelante,ST,78.0,76.0,76.0,75.0,76.0,77.0,80.0
Bogdan Stancu,Gençlerbirliği,Süper Lig,ST,74.0,68.0,68.0,66.0,76.0,61.0,72.0
Denis Alibec,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
