NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Igor Akinfeev,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Guilherme Marinato,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Yuri Lodygin,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Sergei Ignashevich,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Georgi Shchennikov,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Roman Shishkin,Lokomotiv,Russian League,RB,78.0,58.0,51.0,61.0,55.0,79.0,76.0
Vasili Berezutski,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Igor Smolnikov,Zenit,Russian League,RB,86.0,75.0,50.0,60.0,60.0,88.0,87.0
Dmitri Kombarov,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Aleksei Berezutski,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Roman Neustädter,Fenerbahçe SK,Süper Lig,CB,75.0,75.0,69.0,76.0,78.0,40.0,67.0
Pavel Mamayev,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Denis Glushakov,Spartak Moskva,Russian League,CDM,74.0,79.0,59.0,69.0,73.0,72.0,73.0
Artur Yusupov,Zenit,Russian League,CDM,74.0,67.0,80.0,64.0,70.0,33.0,82.0
Roman Shirokov,CSKA Moskva,Russian League,CM,80.0,78.0,74.0,77.0,82.0,56.0,76.0
Oleg Shatov,Zenit,Russian League,LM,87.0,80.0,86.0,89.0,90.0,47.0,75.0
Oleg Ivanov,Terek Grozny,Russian League,CAM,74.0,75.0,60.0,70.0,72.0,75.0,65.0
Aleksandr Samedov,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Dmitri Torbinski,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Aleksandr Golovin,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Fyodor Smolov,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Artem Dzyuba,Zenit,Russian League,ST,87.0,91.0,85.0,90.0,86.0,86.0,86.0
