NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Ján Mucha,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ján Novota,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Matúš Kozáčik,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Dušan Švento,1. FC Köln,Bundesliga,LM,70.0,44.0,44.0,59.0,53.0,70.0,70.0
Kornel Saláta,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Tomáš Hubočan,Marseille,Ligue 1,CB,76.0,81.0,68.0,74.0,82.0,38.0,63.0
Milan Škriniar,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Peter Pekarík,Hertha BSC,Bundesliga,RB,76.0,76.0,74.0,70.0,74.0,44.0,75.0
Martin Škrtel,Liverpool,Barclays PL,CB,83.0,80.0,72.0,84.0,85.0,51.0,72.0
Norbert Gyömbér,Pescara,Serie B,CB,72.0,64.0,68.0,72.0,77.0,35.0,57.0
Ján Ďurica,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Miroslav Stoch,Fenerbahçe SK,Süper Lig,LM,76.0,67.0,78.0,63.0,68.0,46.0,84.0
Viktor Pečovský,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ondrej Duda,Hertha BSC,Bundesliga,CAM,71.0,79.0,70.0,66.0,75.0,31.0,54.0
Vladimír Weiss,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ján Greguš,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Marek Hamšík,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Juraj Kucka,Milan,Serie A,CM,76.0,84.0,44.0,66.0,73.0,74.0,72.0
Róbert Mak,Zenit,Russian League,RM,74.0,44.0,45.0,53.0,43.0,76.0,78.0
Patrik Hrošovský,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Adam Nemec,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Michal Ďuriš,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
