NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Iker Casillas,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
David de Gea,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Sergio Rico,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Marc Bartra,FC Barcelona,Liga BBVA,CB,81.0,76.0,51.0,69.0,70.0,79.0,89.0
Jordi Alba,FC Barcelona,Liga BBVA,LB,84.0,80.0,84.0,68.0,81.0,22.0,71.0
Mikel San José,Athletic Bilbao,Liga BBVA,CB,82.0,84.0,80.0,80.0,80.0,42.0,76.0
Juanfran,Atlético Madrid,Liga BBVA,RB,86.0,82.0,80.0,84.0,90.0,77.0,87.0
Sergio Ramos,Real Madrid,Liga BBVA,CB,94.0,86.0,70.0,80.0,74.0,95.0,90.0
Gerard Piqué,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
César Azpilicueta,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Héctor Bellerín,Arsenal,Barclays PL,RB,86.0,77.0,84.0,80.0,79.0,46.0,72.0
Thiago,FC Bayern,Bundesliga,CM,84.0,76.0,88.0,79.0,85.0,46.0,85.0
Koke,Atlético Madrid,Liga BBVA,CM,89.0,73.0,64.0,82.0,74.0,90.0,86.0
Andrés Iniesta,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Sergio Busquets,FC Barcelona,Liga BBVA,CDM,90.0,97.0,91.0,89.0,89.0,70.0,87.0
Bruno Soriano,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
David Silva,Manchester City,Barclays PL,LW,89.0,46.0,83.0,97.0,88.0,60.0,65.0
Cesc Fàbregas,Chelsea,Barclays PL,CDM,88.0,72.0,75.0,89.0,87.0,24.0,57.0
Pedro,Chelsea,Barclays PL,RM,85.0,76.0,37.0,57.0,62.0,90.0,80.0
Nolito,Celta Vigo,Liga BBVA,LM,83.0,77.0,82.0,62.0,76.0,38.0,86.0
Lucas Vázquez,Real Madrid,Liga BBVA,RM,77.0,66.0,75.0,78.0,74.0,62.0,77.0
Álvaro Morata,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
