NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Yann Sommer,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Roman Bürki,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Marwin Hitz,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Nico Elvedi,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Stephan Lichtsteiner,Juventus,Serie A,RB,82.0,92.0,80.0,75.0,87.0,37.0,70.0
Johan Djourou,Hamburger SV,Bundesliga,CB,76.0,83.0,55.0,71.0,75.0,75.0,76.0
François Moubandje,Toulouse FC,Ligue 1,CB,73.0,56.0,54.0,70.0,68.0,70.0,67.0
Fabian Schär,1899 Hoffenheim,Bundesliga,CB,80.0,77.0,81.0,70.0,80.0,45.0,75.0
Ricardo Rodríguez,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Michael Lang,FC Basel,Raiffeisen SL,RB,74.0,81.0,75.0,70.0,80.0,27.0,50.0
Steve von Bergen,BSC Young Boys,Raiffeisen SL,CB,73.0,87.0,62.0,67.0,75.0,65.0,65.0
Granit Xhaka,Bor. M'gladbach,Bundesliga,CDM,84.0,79.0,83.0,87.0,84.0,58.0,80.0
Valon Behrami,Watford,Barclays PL,CDM,76.0,82.0,71.0,68.0,81.0,21.0,58.0
Fabian Frei,1. FSV Mainz 05,Bundesliga,CM,75.0,86.0,75.0,68.0,70.0,44.0,81.0
Denis Zakaria,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Blerim Džemaili,Galatasaray SK,Süper Lig,CM,72.0,84.0,51.0,60.0,71.0,66.0,74.0
Gelson Fernandes,Stade Rennais,Ligue 1,CDM,76.0,79.0,69.0,74.0,78.0,64.0,64.0
Xherdan Shaqiri,Stoke City,Barclays PL,RM,83.0,82.0,45.0,70.0,66.0,83.0,84.0
Breel Embolo,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Shani Tarashaj,Everton,Barclays PL,CAM,67.0,85.0,56.0,55.0,76.0,27.0,55.0
Admir Mehmedi,Bayer 04,Bundesliga,CF,77.0,83.0,77.0,69.0,77.0,32.0,69.0
Eren Derdiyok,Galatasaray SK,Süper Lig,ST,72.0,36.0,62.0,75.0,75.0,71.0,57.0
