NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Volkan Babacan,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Onur Kıvrak,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Harun Tekin,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Semih Kaya,Galatasaray SK,Süper Lig,CB,77.0,53.0,59.0,76.0,67.0,70.0,77.0
Şener Özbayraklı,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Gökhan Gönül,Fenerbahçe SK,Süper Lig,RB,83.0,68.0,85.0,73.0,74.0,40.0,85.0
Hakan Balta,Galatasaray SK,Süper Lig,CB,74.0,89.0,72.0,58.0,70.0,25.0,78.0
Ahmet Yılmaz Çalık,Gençlerbirliği,Süper Lig,CB,74.0,83.0,68.0,69.0,78.0,41.0,64.0
İsmail Köybaşı,Fenerbahçe SK,Süper Lig,LB,73.0,90.0,68.0,59.0,77.0,28.0,76.0
Selçuk İnan,Galatasaray SK,Süper Lig,CM,80.0,80.0,72.0,74.0,85.0,33.0,56.0
Arda Turan,FC Barcelona,Liga BBVA,RM,84.0,88.0,85.0,74.0,85.0,34.0,73.0
Olcay Şahan,Beşiktaş JK,Süper Lig,LM,77.0,71.0,40.0,55.0,51.0,81.0,71.0
Nuri Şahin,Bor. Dortmund,Bundesliga,CM,81.0,84.0,77.0,79.0,86.0,18.0,65.0
Oğuzhan Özyakup,Beşiktaş JK,Süper Lig,CDM,86.0,67.0,83.0,89.0,86.0,75.0,76.0
Mehmet Topal,Fenerbahçe SK,Süper Lig,CDM,86.0,91.0,68.0,84.0,81.0,82.0,78.0
Ozan Tufan,Fenerbahçe SK,Süper Lig,CDM,80.0,76.0,66.0,75.0,76.0,80.0,84.0
Caner Erkin,Inter,Serie A,LB,78.0,85.0,80.0,59.0,81.0,31.0,74.0
Yunus Mallı,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Volkan Şen,Fenerbahçe SK,Süper Lig,RM,77.0,79.0,60.0,70.0,75.0,76.0,77.0
Hakan Çalhanoğlu,Bayer 04,Bundesliga,CAM,82.0,93.0,77.0,75.0,87.0,54.0,71.0
Cenk Tosun,Beşiktaş JK,Süper Lig,ST,80.0,83.0,81.0,65.0,75.0,30.0,65.0
Burak Yılmaz,Galatasaray SK,Süper Lig,ST,79.0,76.0,77.0,77.0,80.0,69.0,81.0
