NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Denys Boyko,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Andriy Pyatov,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Mykyta Shevchenko,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Yaroslav Rakitskiy,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Artem Fedetskyi,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Bohdan Butko,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Yevhen Khacheridi,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Oleksandr Kucher,FC Shakhtar,Ukrayina Liha,CB,78.0,67.0,58.0,70.0,70.0,73.0,87.0
Vyacheslav Shevchuk,FC Shakhtar,Ukrayina Liha,LB,78.0,66.0,40.0,50.0,58.0,82.0,75.0
Viktor Kovalenko,FC Shakhtar,Ukrayina Liha,CAM,73.0,68.0,57.0,68.0,69.0,72.0,79.0
Yevhen Konoplyanka,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Oleksandr Karavayev,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Taras Stepanenko,FC Shakhtar,Ukrayina Liha,CDM,77.0,81.0,74.0,71.0,79.0,28.0,73.0
Ruslan Rotan,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Serhiy Sydorchuk,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Serhiy Rybalka,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Denys Harmash,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Anatoliy Tymoshchuk,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Oleksandr Zinchenko,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Andriy Yarmolenko,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Roman Zozulya,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Yevhen Seleznyov,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
