NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Wayne Hennessey,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Danny Ward,Rotherham Utd,FL Championship,ST,68.0,81.0,61.0,59.0,74.0,37.0,58.0
Owain Fôn Williams,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Ben Davies,Spurs,Barclays PL,LB,76.0,48.0,48.0,69.0,59.0,79.0,72.0
James Chester,West Brom,Barclays PL,CB,80.0,75.0,45.0,60.0,56.0,83.0,78.0
Ashley Williams,Everton,Barclays PL,CB,81.0,70.0,82.0,85.0,82.0,40.0,70.0
Chris Gunter,Reading,FL Championship,RB,71.0,86.0,64.0,63.0,76.0,25.0,63.0
Neil Taylor,Swansea City,Barclays PL,LB,74.0,36.0,54.0,60.0,50.0,74.0,82.0
Jazz Richards,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
James Collins,West Ham,Barclays PL,CB,78.0,65.0,60.0,68.0,75.0,77.0,80.0
Joe Allen,Stoke City,Barclays PL,CM,77.0,79.0,75.0,58.0,72.0,30.0,70.0
Andy King,Leicester City,Barclays PL,CM,74.0,68.0,72.0,72.0,76.0,35.0,67.0
Aaron Ramsey,Arsenal,Barclays PL,CAM,86.0,69.0,85.0,89.0,83.0,60.0,68.0
Jonny Williams,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
David Vaughan,Nott'm Forest,FL Championship,CDM,68.0,42.0,25.0,39.0,44.0,67.0,70.0
David Edwards,Wolves,FL Championship,CAM,68.0,67.0,42.0,64.0,60.0,67.0,66.0
Joe Ledley,Crystal Palace,Barclays PL,CM,74.0,69.0,73.0,62.0,73.0,37.0,68.0
George Williams,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
David Cotterill,Birmingham City,FL Championship,RM,69.0,78.0,53.0,62.0,70.0,24.0,62.0
Gareth Bale,Real Madrid,Liga BBVA,RW,95.0,99.0,96.0,95.0,95.0,77.0,94.0
Hal Robson-Kanu,,,,73.7,71.89,61.09,65.15,69.34,55.21,70.4
Sam Vokes,Burnley,FL Championship,ST,74.0,59.0,74.0,54.0,68.0,32.0,73.0
